name,image,rating,ratings_count,genres,platforms,tags,features
Yoku's Island Express,https://media.rawg.io/media/screenshots/2af/2af88b770803eb5c6a2e16894012ac77.jpg,4.15,213,Adventure|Indie,Nintendo Switch|Xbox One|PC|PlayStation 4,Full controller support|Open World|Metroidvania|Pinball,adventure indie nintendo_switch xbox_one pc playstation_4 full_controller_support open_world metroidvania pinball
911 Operator,https://media.rawg.io/media/screenshots/a5e/a5eb5de9041397ca0f8b933c96a593b9.jpg,3.41,156,Strategy|Simulation|Casual|Educational|Indie,Xbox One|iOS|PC|macOS|Linux|Nintendo Switch|Android,Singleplayer|Steam Achievements|Steam Cloud|steam-trading-cards|2D|stats|Steam Workshop|Includes level editor|Realistic|Management|Education|Practical,strategy simulation casual educational indie xbox_one ios pc macos linux nintendo_switch android singleplayer steam_achievements steam_cloud steam-trading-cards 2d stats steam_workshop includes_level_editor realistic management education practical
FIFA 14,https://media.rawg.io/media/games/9ca/9ca31615beee447f3ae1dc9b3b736dce.jpg,3.43,459,Sports,Android|PS Vita|PlayStation 4|PSP|PlayStation 3|PlayStation 2|Xbox 360|Wii|Nintendo 3DS|Nintendo Switch|PC|iOS|Xbox One,3D|online|Mod|Football|Soccer|reality-based|ai,sports android ps_vita playstation_4 psp playstation_3 playstation_2 xbox_360 wii nintendo_3ds nintendo_switch pc ios xbox_one 3d online mod football soccer reality-based ai
Batman: The Telltale Series,https://media.rawg.io/media/games/674/674b67b66f510f5b273f50ca09341ee2.jpg,3.75,427,Adventure,Xbox 360|PlayStation 3|PC|macOS|Xbox One|iOS|Nintendo Switch|PlayStation 4|Android,Point & Click|Quick-Time Events,adventure xbox_360 playstation_3 pc macos xbox_one ios nintendo_switch playstation_4 android point_&_click quick-time_events
Swords and Soldiers HD,https://media.rawg.io/media/screenshots/f10/f10e7cafed6665861c58187b2ae3b310.jpg,2.64,138,Action|Strategy|Casual|Indie,macOS|Wii|PC,Singleplayer|Steam Achievements|Multiplayer|2D|Steam Leaderboards|Side Scroller|Valve Anti-Cheat enabled|Cartoony|Tower Defense,action strategy casual indie macos wii pc singleplayer steam_achievements multiplayer 2d steam_leaderboards side_scroller valve_anti-cheat_enabled cartoony tower_defense
OlliOlli2: Welcome to Olliwood,https://media.rawg.io/media/screenshots/5bc/5bceda42f03454a8b9c0d294390eb6d9.jpg,3.3,272,Action|Sports|Indie|Platformer,PlayStation 4|PS Vita|PC|Linux|macOS,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Great Soundtrack|2D|Difficult|Steam Leaderboards|Split Screen|Local Co-Op|Local Multiplayer|4 Player Local|skateboarding|Skating,action sports indie platformer playstation_4 ps_vita pc linux macos singleplayer steam_achievements multiplayer full_controller_support great_soundtrack 2d difficult steam_leaderboards split_screen local_co-op local_multiplayer 4_player_local skateboarding skating
Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour,https://media.rawg.io/media/screenshots/119/1190d9632988dbe1c6d3001ee51c4c74.jpg,3.79,323,Action|Adventure,PlayStation 4|PC|Xbox One,Singleplayer|Multiplayer|Full controller support|Steam Cloud|Atmospheric|First-Person|Horror|FPS|Gore|Survival|Violent|Free to Play|Zombies|Nudity|Survival Horror|Mature|VR,action adventure playstation_4 pc xbox_one singleplayer multiplayer full_controller_support steam_cloud atmospheric first-person horror fps gore survival violent free_to_play zombies nudity survival_horror mature vr
TowerFall Ascension,https://media.rawg.io/media/games/b61/b6193c5c1f917f38dce568f335f80c16.jpg,3.95,290,Action|Indie|Platformer,Nintendo Switch|Xbox One|PS Vita|PlayStation 4|Linux|PC|macOS,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Great Soundtrack|Co-op|cooperative|2D|Difficult|Split Screen|Local Co-Op|Pixel Graphics|Controller|Local Multiplayer|stats|Retro|4 Player Local|party|4 giocatori divano,action indie platformer nintendo_switch xbox_one ps_vita playstation_4 linux pc macos singleplayer steam_achievements multiplayer full_controller_support steam_cloud steam-trading-cards great_soundtrack co-op cooperative 2d difficult split_screen local_co-op pixel_graphics controller local_multiplayer stats retro 4_player_local party 4_giocatori_divano
Commandos 2: Men of Courage,https://media.rawg.io/media/screenshots/39b/39beb43bceb3dcca896c128ddeccec48.jpg,4.23,220,Action,PC|Xbox|PlayStation 2,Singleplayer|Multiplayer|Co-op|cooperative|Difficult|Classic|Stealth|Tactical|Isometric|RTS|Military|World War II|Real Time Tactics,action pc xbox playstation_2 singleplayer multiplayer co-op cooperative difficult classic stealth tactical isometric rts military world_war_ii real_time_tactics
The Dark Pictures Anthology: Little Hope,https://media.rawg.io/media/games/643/6431f15213a854efd273943f2cf6a925.jpg,3.8,449,Action|Adventure,PlayStation 4|PC|Nintendo Switch|Xbox One,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Co-op|Story Rich|cooperative|Horror|Gore|Survival|Violent|Split Screen|Dark|PvP|Survival Horror|Mystery|Choices Matter|Multiple Endings|Online PvP|Blood|Drama|Episodic|Quick-Time Events|Supernatural|Psychological|Remote Play Together|Mythology|Shared/Split Screen PvP,action adventure playstation_4 pc nintendo_switch xbox_one singleplayer steam_achievements multiplayer full_controller_support steam_cloud co-op story_rich cooperative horror gore survival violent split_screen dark pvp survival_horror mystery choices_matter multiple_endings online_pvp blood drama episodic quick-time_events supernatural psychological remote_play_together mythology shared/split_screen_pvp
Victor Vran,https://media.rawg.io/media/games/6d3/6d35c69d8435af5fcd448b08e82c3fd4.jpg,3.37,239,Action|Adventure|RPG|Indie,Nintendo Switch|PlayStation 4|Xbox One|macOS|PC|Linux,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|RPG|Co-op|cooperative|Online Co-Op|Fantasy|Local Co-Op|Action RPG|Controller|Cross-Platform Multiplayer|Hack and Slash|controller support|Isometric|overlay|Dungeon Crawler|achievements|Loot,action adventure rpg indie nintendo_switch playstation_4 xbox_one macos pc linux singleplayer steam_achievements multiplayer full_controller_support steam_cloud steam-trading-cards rpg co-op cooperative online_co-op fantasy local_co-op action_rpg controller cross-platform_multiplayer hack_and_slash controller_support isometric overlay dungeon_crawler achievements loot
God of War III,https://media.rawg.io/media/games/289/289951d92239d05f2a663d632aa3888a.jpg,4.4,741,Action,PlayStation 3,RPG|War|Story|character|Mythology|quick|god|slasher,action playstation_3 rpg war story character mythology quick god slasher
Command & Conquer: Red Alert 3,https://media.rawg.io/media/games/776/776e601c2c37f50bb11f9054f54c60da.jpg,3.99,361,Strategy|Simulation,Xbox 360|Xbox One|PC|PlayStation 3,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Co-op|cooperative|Sci-fi|Online Co-Op|Classic|Comedy|War|RTS|Base Building|Alternate History|Real-Time|Co-op Campaign|FMV,strategy simulation xbox_360 xbox_one pc playstation_3 singleplayer multiplayer atmospheric great_soundtrack co-op cooperative sci-fi online_co-op classic comedy war rts base_building alternate_history real-time co-op_campaign fmv
